example_en	example_tr
I know that I'm lazy.	Tembel olduğumu biliyorum.
I know that I'm safe.	Güvende olduğumu biliyorum.
I know that I'm crazy.	Ben deli olduğumu biliyorum.
I know that I'm dying.	Ölmekte olduğumu biliyorum.
I know that I'm ready.	Hazır olduğumu biliyorum.
I know that I'm right.	Haklı olduğumu biliyorum.
I know that I did that.	Bunu yaptığımı biliyorum.
I know that I'm biased.	Ben önyargılı olduğumu biliyorum.
I know that I'm stingy.	Paragöz olduğumu biliyorum.
I know that I can't win.	Kazanamayacağımı biliyorum.
I know that I was wrong.	Hatalı olduğumu biliyorum.
I know that I'm adopted.	Evlat edinilmiş olduğumu biliyorum.
I know that I'm correct.	Doğru olduğumu biliyorum.
I know that she is cute.	Şirin olduğunu biliyorum.
I know that I don't know.	Bilmediğimi biliyorum.
I know that I'm annoying.	Can sıkıcı olduğumu biliyorum.
I know that I can do that.	Bunu yapabileceğimi biliyorum.
I know that I do not know.	Bilmediğimi biliyorum.
I know that I'll die soon.	Yakında öleceğimi biliyorum.
I know that I'm not ready.	Hazır olmadığımı biliyorum.
I know that I can beat Tom.	Tom'u yenebileceğimi biliyorum.
I know that I was mistaken.	Hatalı olduğumu biliyorum.
I know that I'm overweight.	Aşırı kilolu olduğumu biliyorum.
I know that she is Spanish.	Ben onun İspanyol olduğunu biliyorum.
I know that I won't like it.	Bunu sevmeyeceğimi biliyorum.
I know that I didn't do that.	Onu yapmadığımı biliyorum.
I know that she is beautiful.	Onun güzel olduğunu biliyorum.
I know that she has been busy.	Onun meşgul olduğunu biliyorum.
I know that I can count on Tom.	Tom'a güvenebileceğimi biliyorum.
I know that I am a good teacher.	Ben iyi bir öğretmen olduğumu biliyorum.
I know that I did nothing wrong.	Yanlış bir şey yapmadığımı biliyorum.
I know that I don't deserve you.	Ben seni haketmediğimi biliyorum.
I know that I have to be better.	Daha iyi olmak zorunda olduğumu biliyorum.
I know that I shouldn't be here.	Burada olmamam gerektiğini biliyorum.
I know that you know that I know.	Benim bildiğimi bildiğini biliyorum.
I know that I should be sleeping now.	Şimdi uyuyor olmam gerektiğini biliyorum.
I know that she doesn't know who I am.	Ben onun kim olduğumu bilmediğini biliyorum.
I know that I should not tell him a lie.	Ona yalan söylememem gerektiğini biliyorum.
I think that I'll do that.	Sanırım onu yapacağım.
I think that she's honest.	Bence o dürüsttür.
I think that I can do that.	Sanırım bunu yapabilirim.
I think that I'll help Tom.	Sanırım Tom'a yardım edeceğim.
I think that she will come.	Bence o gelecek.
I think that I should leave.	Sanırım gitmeliyim.
I think that she won't come.	Sanırım o gelmeyecek.
I think that I'm a lucky guy.	Şanslı bir adam olduğumu düşünüyorum.
I think that I came too early.	Çok erken geldiğimi düşünüyorum.
I think that I drank too much.	Galiba çok fazla içtim.
I think that she will not come.	Ben onun gelmeyeceğini düşünüyorum.
I think that I'll do that today.	Onu bugün yapacağımı düşünüyorum.
I think that she knows the truth.	Sanırım o, gerçeği biliyor.
I think that I'm going to do that.	Sanırım onu yapacağım.
I think that I'm going to help Tom.	Sanırım Tom'a yardım edeceğim.
I think that I should let Tom leave.	Sanırım Tom'un gitmesine izin vermeliyim.
I think that I'll leave early today.	Sanırım bugün erken ayrılacağım.
I think that I soon will go to sleep.	Yakında uyuyacağımı düşünüyorum.
I think that I was followed by someone.	Biri tarafından takip edildiğimi düşünüyorum.
I think that I'll be in Boston by 2:30.	2.30'a kadar Boston'da olacağımı düşünüyorum.
I think that I'll play tennis with Tom.	Sanırım Tom ile tenis oynayacağım.
I think that I'm doing something wrong.	Sanırım yanlış bir şey yapıyorum.
He said that I must go.	O, gitmem gerektiğini söyledi.
I said that I liked Tom.	Tom'u sevdiğimi söyledim.
I said that I'd do that.	Bunu yapacağımı söyledim.
She said that she was ill.	O, hasta olduğunu söyledi.
Tom said that I had to go.	Tom gitmek zorunda olduğumuzu söyledi.
I said that I was confused.	Şaşkın olduğumu söyledim.
Tom said that I look bored.	Tom sıkılmış göründüğümü söyledi.
Tom said that I look tired.	Tom yorgun göründüğümü söyledi.
Tom said that I should win.	Tom kazanmam gerektiğini söyledi.
She said that she was happy.	O, mutlu olduğunu söyledi.
He said that I must go there.	O, oraya gitmem gerektiğini söyledi.
I said that I would help Tom.	Tom'a yardım edeceğimi söyledim.
I said that I would help him.	Ona yardım edeceğimi söyledim.
Tom said that I looked awful.	Tom korkunç göründüğümü söyledi.
Tom said that I should leave.	Tom gitmem gerektiğini söyledi.
Tom said that I was reckless.	Tom pervasız olduğumu söyledi.
Tom said that I can't come in.	Tom içeri giremeyeceğimi söyledi.
Tom said that I sounded tired.	Tom yorgun göründüğümü söyledi.
Tom said that I was too noisy.	Tom çok gürültülü olduğumu söyledi.
Everyone said that I was wrong.	Herkes hatalı olduğumu söyledi.
Tom said that I should do that.	Tom bunu yapmam gerektiğini söyledi.
Tom said that I talked to much.	Tom çok fazla konuştuğumu söyledi.
I said that I wanted to do that.	Bunu yapmak istediğimi söyledim.
She said that she had been happy.	O, mutlu olduğunu söyledi.
Tom said that I looked miserable.	Tom sefil göründüğümü söyledi.
Tom said that I shouldn't do that.	Tom bunu yapmamam gerektiğini söyledi.
Tom said he knew that I was coming.	Tom geldiğimi bildiğini söyledi.
Tom said he knew that I would come.	Tom geleceğimi bildiğini söyledi.
She said that I should quit smoking.	O, sigarayı bırakmam gerektiğini söyledi.
She said that she's living in Osaka.	O, Osaka'da yaşıyor olduğunu söyledi.
Tom said he thought that I was dead.	Tom öldüğümü düşündüğünü söyledi.
Tom said that I had to speak French.	Tom, Fransızca konuşmam gerektiğini söyledi.
You say that I'll do that.	Bunu yapacağımı söylüyorsun.
She says that she is happy.	O mutlu olduğunu söylüyor.
She says that she's lonely.	O yalnız olduğunu söylüyor.
They say that Isabela died.	Onlar İsabela'nın öldüğünü söylüyorlar.
Tom says that I'm annoying.	Tom can sıkıcı olduğumu söylüyor.
They say that I'm an old woman.	Onlar benim yaşlı bir kadın olduğumu söylüyorlar.
They say that she quit her job.	Onlar onun işini bıraktığını söylüyorlar.
People say that I look like Tom.	İnsanlar Tom'a benzediğimi söylüyorlar.
She says that she likes flowers.	O, çiçekleri sevdiğini söylüyor.
They say that she is in love with him.	Onun ona âşık olduğunu söylüyorlar.
They say that she was born in Germany.	Onun Almanya'da doğduğunu söylüyorlar.
They say that she'll get married soon.	Onun yakında evleneceğini söylüyorlar.
Tom says he sees things that I can't see.	Tom göremediğim şeyleri gördüğünü söyler.
Tom says that I always talk about myself.	Tom hep kendim hakkımda konuştuğumu söylüyor.
I told Tom that I'd do it.	Onu yapacağımı Tom'a söyledim.
Tom told me that I'm last.	Tom bana sonuncu olduğumu söyledi.
Tom told me that I'm safe.	Tom güvende olduğumu söyledi.
Tom told me that I'm slow.	Tom bana yavaş olduğumu söyledi.
Who told you that I snore?	Kim sana horladığımı söyledi?
I told Tom that I was busy.	Tom'a meşgul olduğumu söyledim.
I told Tom that I was cold.	Tom'a üşüdüğümü söyledim.
Tom told me that I'm first.	Tom bana birinci olduğumu söyledi.
Tom told me that I'm pushy.	Tom bana saldırgan olduğumu söyledi.
Tom told me that I'm right.	Tom bana haklı olduğumu söyledi.
I told Tom that I can't win.	Tom'a kazanamayacağımı söyledim.
I told Tom that I loved him.	Tom'a onu sevdiğimi söyledim.
I told Tom that I was happy.	Tom'a mutlu olduğumu söyledim.
I told Tom that I was tired.	Tom'a yorgun olduğumu söyledim.
I told Tom that I'd be late.	Geç kalacağımı Tom'a söyledim.
Tom told me that I'm boring.	Tom bana sıkıcı olduğumu söyledi.
He told me that she was sick.	O bana hasta olduğunu söyledi.
I told Mary that I loved her.	Mary'ye onu sevdiğimi söyledim.
I told Tom that I liked Mary.	Mary'yi sevdiğimi Tom'a söyledim.
I told Tom that I was hungry.	Tom'a aç olduğumu söyledim.
I told Tom that I'd help him.	Tom'a ona yardım edeceğimizi söyledim.
I told Tom I that I loved him.	Tom'a onu sevdiğimi söyledim.
I told Tom that I was thirsty.	Tom'a susadığımı söyledim.
I told Tom that I wasn't busy.	Tom'a meşgul olmadığımı söyledim.
I told Tom that I'd help Mary.	Tom'a Mary'ye yardım edeceğimi söyledim.
I told her that she was right.	Ben ona onun haklı olduğunu söyledim.
I told them that I'd help you.	Onlara sana yardım edeceğimi söyledim.
I told you that I didn't know.	Ben sana bilmediğimi söyledim.
She told him that she was sad.	O, ona üzgün olduğunu söyledi.
She told me that she loved me.	O, bana beni sevdiğini söyledi.
Tom told me that I was pretty.	Tom bana güzel olduğumu söyledi.
Tom told me that I'm annoying.	Tom bana can sıkıcı olduğumu söyledi.
Tom told me that I'm forgiven.	Tom bana affedildiğimi söyledi.
He said that I must go.	O, gitmem gerektiğini söyledi.
You're all that I have.	Sen benim sahip olduğum her şeysin.
I hope that I can do it.	Umarım bunu yapabilirim.
I said that I liked Tom.	Tom'u sevdiğimi söyledim.
I said that I'd do that.	Bunu yapacağımı söyledim.
I'm sorry that I did it.	Bunu yaptığıma üzgünüm.
I said that I'd do that.	Bunu yapacağımı söyledim.
I'm sorry that I did it.	Bunu yaptığıma üzgünüm.
I'm sure that I'm right.	Ben haklı olduğuma eminim.
Tell Tom that I'm fine.	Tom'a iyi olduğumu söyle.
Tell Tom that I'm here.	Tom'a burada olduğumu söyle.
Tell Tom that I feel OK.	Tom'a kendimi iyi hissettiğimi söyle.
Tell Tom that I'm angry.	Tom'a kızgın olduğumu söyle.
Tell Tom that I'm ready.	Tom'a hazır olduğumu söyle.
Tell Tom that I'm sorry.	Tom'a üzgün olduğumu söyle.
Tell her that I am busy.	Ona meşgul olduğumu söyle.
Tell her that I am sick.	Ona hasta olduğumu söyle.
Tell Tom that I love him.	Tom'a onu sevdiğimi söyle.
Tell Tom that I miss him.	Tom'a onu özlediğimi söyle.
Tell Tom that I'll do it.	Tom'a onu yapacağımı söyle.
Tell Tom that I'm coming.	Tom'a geldiğimi söyle.
Tell Tom that I'm eating.	Tom'a yemek yediğimi söyle.
Tell Tom that I'm hungry.	Tom'a aç olduğumu söyle.
Tell her that I am angry.	Ona kızgın olduğumu söyle.
Tell her that I am tired.	Ona yorgun olduğumu söyle.
Tell Tom that I'm driving.	Tom'a araba sürdüğümü söyle.
Tell Tom that I'm thirsty.	Tom'a susadığımı söyle.
Tell her that I am coming.	Ona geldiğimi söyle.
Tell her that I am eating.	Ona yemek yediğimi söyle.
Tell Tom that I'll do that.	Tom'a bunu yapacağımı söyle.
Tell Tom that I'm sleeping.	Uyuyor olduğumu Tom'a söyleyin.
Tell her that I am fishing.	Ona balık avladığımı söyle.
This is all that I know.	Bütün bildiğim budur.
Tom knew that I was mad.	Tom kızdığımı biliyordu.
Tom knew that I was sad.	Tom üzgün olduğumu biliyordu.
I wish that I could help.	Keşke yardım edebilsem.
I wish that I wasn't here.	Keşke burada olmasam.
I wish that I weren't here.	Keşke burada olmasam.
I wish that I could do more.	Keşke daha fazlasını yapabilsem.
I wish that I could do that.	Keşke onu yapabilseydim.
I wish that I could help you.	Sana yardım edebilmeyi istiyorum.
I wish that I had some money.	Keşke biraz param olsaydı.
I wish that I hadn't hit Tom.	Keşke Tom'a vurmasaydım.
I wish that I wasn't married.	Keşke evli olmasaydım.
I wish that I hadn't done that.	Keşke onu yapmasaydım.
I wish that I hadn't said that.	Keşke onu söylememiş olsaydım.
I wish that I were young again.	Keşke tekrar genç olsam.
It's a car that I bought.	Bu benim aldığım bir araba.
It's true that she's dead.	Onun öldüğü gerçektir.
It's obvious that she's sick.	Onun hasta olduğu bellidir.
It's said that she loves him.	Onun onu sevdiği söylenilmektedir.
It's important that I do this.	Bunu yapmam önemli.
It's Tom that I want to talk to.	Benim konuşmak istediğim Tom'dur.
It's important that I hear this.	Benim bunu duymam önemli.
It's likely that she'll succeed.	O muhtemelen başaracaktır.
It's not your money that I want.	Benim istediğim senin paran değil.
It's you that she loves, not me.	Onun sevdiği sensin, ben değil.
It's possible that she won't come.	Onun gelmeyeceği mümkün.
It's impossible that she said that.	Bunu söylemiş olması imkansız.
Tom knew that I was mad.	Tom kızdığımı biliyordu.
Tom knew that I was sad.	Tom üzgün olduğumu biliyordu.
Tom knew that I was busy.	Tom meşgul olduğumu biliyordu.
Tom knew that I was cold.	Tom üşüdüğümü biliyordu.
Tom knew that I was here.	Tom burada olduğumu biliyordu.
Tom knew that I was sick.	Tom hasta olduğumu biliyordu.
Tom knew that I was angry.	Tom öfkelendiğimi biliyordu.
Tom knew that I was awake.	Tom uyanık olduğumu biliyordu.
Tom knew that I was bored.	Tom sıkıldığımı biliyordu.
Tom knew that I was broke.	Tom meteliksiz olduğumu biliyordu.
Tom knew that I was drunk.	Tom sarhoş olduğumu biliyordu.
Tom knew that I was ready.	Tom hazır olduğumu biliyordu.
Tom knew that I was right.	Tom haklı olduğumu biliyordu.
Tom knew that I was tired.	Tom yorgun olduğumu biliyordu.
Tom knew that I was upset.	Tom üzgün olduğumu biliyordu.
Tom knew that I'd be late.	Tom geç kalacağımı biliyordu.
Tom knew that I was afraid.	Tom korktuğumu biliyordu.
Tom knew that I was hungry.	Tom acıktığımı biliyordu.
Tom knew that I was lonely.	Tom yalnız olduğumu biliyordu.
Tom knew that I was scared.	Tom korktuğumu biliyordu.
Tom knew that I was sleepy.	Tom uykulu olduğumu biliyordu.
It seems that she was ill.	O, hastaymış gibi görünüyor.
It seems that she's happy.	O, mutlu gibi görünüyor.
It seems that I have lost my keys.	Anahtarlarımı kaybettim gibi geliyor.
It seems that I'm not lucky today.	Ben bugün şanslı değilim gibi görünüyor.
It seems that she is keeping that secret.	Görünen o ki, o sırrı saklıyor.
I believe that I can do it.	Ben bunu yapabileceğime inanıyorum.
I believe that I belong here.	Ben buraya ait olduğuma inanıyorum.
I believe that she is honest.	Onun dürüst olduğuna inanıyorum.
I believe that I can trust you.	Sana güvenebileceğime inanıyorum.
I believe that she has never told a lie.	Onun asla yalan söylemediğine inanıyorum.
I'm sorry that I did it.	Bunu yaptığıma üzgünüm.
I'm sorry that I did that.	Onu yaptığım için üzgünüm.
I'm sorry that I hurt you.	Seni incittiğim için üzgünüm.
I'm sorry that I kissed Tom.	Tom'u öptüğüm için üzgünüm.
I'm sorry that I lied to Tom.	Tom'a yalan söylediğim için üzgünüm.
I'm sorry that I lied to you.	Sana yalan söylediğim için üzgünüm.
I'm sorry that I bothered you.	Sizi rahatsız ettiğim için üzgünüm.
I'm sorry that I broke my promise.	Sözümü tutmadığım için özür dilerim.
I'm sorry that I can't come today.	Bugün gelemediğim için üzgünüm.
I'm sorry that I made you do that.	Onu sana yaptırdığım için üzgünüm.
I'm sorry that I acted like a jerk.	Bir pislik gibi davrandığım için özür dilerim.
I'm sorry that I couldn't assist you.	Size yardım edemediğim için üzgünüm.
I'm sorry that I didn't reply sooner.	Daha kısa sürede cevap vermediğim için üzgünüm.
I'm sorry that I can't help you today.	Bugün sana yardım edemediğim için üzgünüm.
I'm sorry that I lied to you yesterday.	Dün sana yalan söylediğim için üzgünüm.
I'm sorry that I said the things I did.	Yaptığım şeyleri söylediğim için üzgünüm.
I hope that I can do it.	Umarım bunu yapabilirim.
I hope that I'll see her.	Onu göreceğimi umuyorum.
I hope that I can do that.	Onu yapabileceğimi umuyorum.
I hope that I pass the exam.	Umarım sınavı geçerim.
I hope that she will help me.	Onun bana yardım edeceğini umuyorum.
I hope that she listens to me.	Umarım o beni dinler.
I hope that she'll get well soon.	Onun yakında iyileşeceğini umuyorum.
I hope that she will get well soon.	Yakında iyileşeceğini umuyorum.
I hope that she'll get better soon.	Onun yakında iyileşeceğini umuyorum.
I hope that I can sing with you someday.	Umarım birgün seninle şarkı söyleyebilirim.
I thought that I'd do that.	Bunu yapacağımı düşündüm.
I thought that I saw a ghost.	Bir hayalet gördüğümü düşündüm.
I thought that I smelled bacon.	Ben domuz pastırması kokladığımı düşündüm.
I thought that I performed well.	İyi yaptığımı düşündüm.
I thought that I recognized Tom.	Tom'u tanıdığımı düşündüm.
I thought that I recognized you.	Seni tanıdığımı düşündüm.
I thought that I saw a light on.	Bir lambanın açık olduğunu gördüğümü sandım.
I thought that she was pregnant.	Onun hamile olduğunu düşündüm.
I thought that I had lost my keys.	Anahtarlarımı kaybettiğimi sandım.
I thought that I put it in the car.	Onu arabaya koyduğumu düşündüm.
I thought that I told you about it.	Onu sana anlattığımı sanıyordum.
I thought that I put it right there.	Ben onu oraya koyduğumu düşündüm.
I thought that I saw someone I knew.	Gördüğüm birini tanıdığımı sandım.
Remember that I love you.	Seni sevdiğimi unutma.
Remember that I outrank you.	Senin üstün olduğumu unutma.
I remember that I met the queen.	Kraliçeyle görüştüğümü hatırlıyorum.
I remember that I closed the door.	Kapıyı kapattığımı hatırlıyorum.
I remember that I met him somewhere.	Onunla bir yerde karşılaştığımı hatırlıyorum.
I remember that she wore a green hat.	Onun yeşil bir şapka giydiğini hatırlıyorum.
I'm sure that I'm right.	Ben haklı olduğuma eminim.
I'm not sure that I like it.	Ben bunu sevdiğimden emin değilim.
I'm sure that she's correct.	Ben onun doğru olduğundan eminim.
I'm very glad that I did it.	Onu yaptığıma çok memnun oldum.
I was glad that I could help.	Yardım edebildiğime memnun oldum.
I'm glad that I'm not paying.	Ödeme yapmadığım için memnunum.
I'm not sure that I trust Tom.	Tom'a güvendiğimden emin değilim.
I'm very glad that I did that.	Onu yaptığıma çok memnun oldum.
I'm glad that I still live here.	Hâlâ burada yaşadığıma memnunum.
I'm not sure that I can help you.	Sana yardım edebileceğimden emin değilim.
I'm pretty sure that I won't win.	Kazanmayacağımdan oldukça eminim.
Tom suggested that I do that.	Tom onu yapmamı önerdi.
I suggested that she go alone.	Ona yalnız gitmesini önerdim.
Tom suggested that I not do that.	Tom onu yapmamamı önerdi.
Are you suggesting that I'm a coward?	Benim bir korkak olduğumu mu ima ediyorsun?
Are you suggesting that I am too young?	Benim çok genç olduğumu mu ileri sürüyorsun?
He suggested that I write to her at once.	Derhal ona yazmamı önerdi.
She suggested that I take him to the zoo.	O, onu hayvanat bahçesine götürmemi önerdi.
Tom suggested that I not do that anymore.	Tom, artık bunu yapmamamı önerdi.
I feel that I should help you.	Sana yardım etmem gerektiğini hissediyorum.
I feel so lucky that I was chosen.	Seçildiğim için kendimi çok şanslı hissediyorum.
I feel that I've wasted your time.	Zamanını boşa harcadığımı hissediyorum.
I feel bad that I can't come today.	Bugün gelemediğim için kötü hissediyorum.
I feel that I owe Tom an explanation.	Kendimi Tom'a bir açıklama borçlu hissediyorum.
You will see that I am right.	Benim haklı olduğumu göreceksiniz.
I see now that I was mistaken.	Hatalı olduğumu şimdi anlıyorum.
You’ll see that I’m right.	Benim haklı olduğumu göreceksiniz.
I pretended that I didn't see it.	Ben onu görmemiş gibi davrandım.
I trust that I can see you again.	Seni tekrar görebileceğime inanıyorum.
Just tell Tom that I can't see him.	Tom'a sadece onu göremeyeceğimi söyle.
Do you think that I'm insane?	Sence ben deli miyim?
Do you think that I'm handsome?	Yakışıklı olduğumu düşünüyor musun?
Do you think that I'm not trying?	Denemediğimi düşünüyor musun?
Do you think that I'm over-reacting?	Aşırı tepki gösterdiğimi düşünüyor musun?
Do you think that I'm not trying my best?	Elimden geleni yapmadığımı düşünüyor musun?
Do you think that I should go talk to Tom?	Sence gidip Tom'la konuşmam gerekir mi?
Tom insisted that I go.	Tom benim gitmemi tutturdu.
He insisted that I join him.	O ona katılmam için ısrar etti.
Tom insisted that I do that.	Tom bunu yapmam için ısrar etti.
Tom insisted that I help him.	Tom ona yardım etmemde ısrar etti.
Tom insisted that I join him.	Tom onunla birleşmemde ısrar etti.
I admit that I lied.	Yalan söylediğimi itiraf ediyorum.
I admit that I do that.	Onu yaptığımı itiraf ediyorum.
I admit that I'm tired.	Yorgun olduğumu kabul ediyorum.
I admit that I was wrong.	Hatalı olduğumu itiraf ediyorum.
I admitted that I did that.	Onu yaptığımı itiraf ettim.
I admit that I was careless.	Ben, dikkatsiz olduğumu itiraf ediyorum.
I admit that I've done that.	Onu yaptığımı itiraf ediyorum.
I admitted that I was wrong.	Hatalı olduğumu itiraf ettim.
I guess that she is 40.	Onun 40 olduğunu sanıyorum.
I guess that she is over thirty.	Sanırım o otuzun üzerindedir.
I guess everybody thinks that I'm in love with Mary.	Galiba herkes Mary'ye aşık olduğumu sanıyor.
I regret that I lied.	Yalan söylediğime pişmanım.
I regret that I did that.	Onu yaptığıma pişmanım.
I regret that I told you.	Sana söylediğime pişmanım.
I regret that I am going away.	Uzağa gittiğim için pişmanım.
I regret that I can't help you.	Sana yardım edemediğim için üzgünüm.
The fact is that she lied.	Gerçek şu ki o yalan söyledi.
The fact is that I can't swim.	Gerçek benim yüzemememdir.
The fact is that I have no money with me.	Gerçek yanımda para olmamasıdır.
The fact that she's sick really worries me.	Onun hasta olması gerçeği beni gerçekten endişelendiriyor.
I'm just happy that I won.	Ben sadece kazandığım için mutluyum.
I'm really happy that I made it.	Onu yaptığım için gerçekten mutluyum.
I suppose that she was happy then.	Sanırım o o zaman mutluydu.
I was happy that she took my side.	Yanımda yer aldığı için mutluydum.
She was happy that she passed the exam.	Sınavı geçtiği için mutluydu.
I decided that I'd do that.	Bunu yapacağıma karar verdim.
I've decided that I'll do that.	Bunu yapacağıma karar verdim.
I decided that I should do that.	Onu yapmam gerektiğine karar verdim.
I decided to tell her that I love her.	Onu sevdiğimi ona söylemeye karar verdim.
I promise that I'll come.	Geleceğime söz veriyorum.
I promised Tom that I'd do that.	Tom'a onu yapacağıma söz verdim.
She promised me that she'd come.	O, bana geleceğine dair söz verdi.
I promise that I'll read this book.	Ben bu kitabı okuyacağıma söz veriyorum.
I promised Tom that I wouldn't cry.	Tom'a ağlamayacağıma söz verdim.
I'll do everything that I can.	Ben elimden gelen her şeyi yapacağım.
Tom can do things that I can't do.	Tom benim yapamadığım şeyleri yapabilir.
I just want to say that I was wrong.	Sadece hatalı olduğumu söylemek istiyorum.
I just want you to know that I know.	Sadece bildiğimi bilmeni istiyorum.
I just wanted to say that I'm sorry.	Sadece üzgün olduğumu söylemek istedim.
Do you want me to say that I'm sorry?	Üzgün olduğumu söylememi istiyor musun?
I just wanted to say that I love you.	Ben sadece seni sevdiğimi söylemek istiyorum.
I just want to say that I believe you.	Sadece sana inandığımı söylemek istiyorum.
I just want you to know that I'm sorry.	Üzgün olduğumu bilmeni istiyorum sadece.
I just want you to know that I forgive you.	Seni bağışladığımı bilmeni istiyorum.
I just want you to know that I'm here for you.	Sadece senin için burada olduğumu bilmeni istiyorum.
I just want you to know that I really like you.	Seni gerçekten sevdiğimi bilmeni istiyorum yalnızca.
I assumed that I'd go alone.	Yalnız gideceğimi sandım.
I assumed that she was there.	Onun orada olduğunu sanıyordum.
Let's assume that I do believe you.	Sana inandığımı farz edelim.
Let's assume for the moment that I believe you.	Sana inandığım an için varsayalım.
I'm very sorry that I lied.	Yalan söylediğim için üzgünüm.
I'm so sorry that I doubted you.	Senden şüphe ettiğim için çok üzgünüm.
I'm so sorry that I lied to you.	Sana yalan söylediğime çok üzgünüm.
I'm awfully sorry that I was late.	Ben geç kaldığım için çok üzgünüm.
I'm very sorry that I lied to Tom.	Tom'a yalan söylediğim için çok üzgünüm.
I am sorry that I could not go with her.	Onunla gidemediğim için üzgünüm.
I am sorry to say that I cannot help you.	Sana yardım edemeyeceğimi söylediğime üzgünüm.
I am sorry that I have troubled you so much.	Seni çok fazla rahatsız ettiğim için üzgünüm.
